Specialization,Type,Duration(approx),Appication deadline,TOEFL,Pearson,IELTS,Additional Requirements,CO-OP/Internships,Admission Requirements
Actuarial Science,MActSc ,16 months,Fall 01-Apr,IBT-83,65,Minimum Minimum 6.5,"Statement of Research and goals, Curriculum vitae",Not Applicable,"Bachelor degree in a calculus-based quantitative discipline (e.g. Engineering, physics, chemistry, business) with at least a 70% average (or equivalent) overall. Knowledge of calculus and matrix algebra is essential. Admission is limited and competitive."
Applied Computing,MAC ,16 months,Fall Closed,IBT-92,65,Minimum 6.5(No individual band score below6.0 and no more than one band score of 6.0),"Statement of Research and goals, Curriculum vitae, Letter of Reference",Yes,"Hold a 4-year bachelor degree in Computer Science or related discipline with a minimum major average of 70% or an average of 77% or better in the last 2 years of study, application that includes a description of a major technology project they have undertaken in the past 3 years. Non-Computer Science disciplines will be eligible for admission if they are accepted into and complete the University of Windsor’s one-year Bachelor of Computer Science for University Graduates program with a 70% average or better."
Applied Economics and Policy,MAEP ,16 months,Fall 01-Jul,IBT-83,65,Minimum 6.5,"Statement of Research and goals,Curriculum vitae",Not Applicable,"A student with an honours Bachelor's degree in Economics or its equivalent, with at least a major average of 70%, may be admitted to a minimum one-year Master's program. Applicants are expected to have completed one course in each of calculus, linear algebra and statistics. Applicants who have not completed the above mathematics requirements are encouraged to do so prior to beginning their graduate course work. 2) A student with a general degree, or an honours graduate in another discipline, with at least a 70% standing, may be admitted to a minimum two-year Master's program."
Argumentation Studies,PhD ,36-60 Months,Fall 01-Feb,IBT-100,68,Minimum 7,Statement of Research Interest include relevant experience and proposed thesis project (500-800 words). A short sample of related scholarly research/writing.,Not Applicable,"Would not expect a common background, so decisions will be made on the basis of past performance and letters of reference. Students will also be expected to have achieved a Master’s degree (or equivalent professional experience) with an 80% or higher standing. Appropriate Master’s programs for admission would include English or Communication Studies (with an emphasis on rhetoric), Rhetoric (with an emphasis on rhetorical theory or debate), Psychology (with an emphasis on reasoning, or bias), Computer Science (with an emphasis on modelling artificial intelligence), Law (with an interest in dimensions of evidence), Political Science (with an emphasis on conflict resolution or political reasoning), Philosophy (with an emphasis on informal logic), Linguistics (with an emphasis on discourse analysis), or Women’s Studies (with an emphasis on gender bias and reasoning)."
Automotive Engineering (Dua Degree),International MASc,24 months,Fall 01-Feb,IBT-83,65,Minimum 6.5,"Statement of Research and goals,Curriculum vitae,Official Transcripts,Letter of Interest addressed to the program administrator Dr. Jennifer Johrendt describing why they are interested in the partnership program, their education/skills/experience, their skills using CAD/Catia/Solidworks, interpersonal and leadership skills, problem solving skills, what team involvement they've had (Formula SAE, BAJA, or other team involvement), and what they feel they will gain from this experience, The Graduate Record Examination (GRE) is recommended for students graduating from universities outside of North America.",Yes,"Admission will be granted, within the limits of program availability (initially 5 students/year) to University of Windsor students possessing a Bachelor of Applied Science degree in Mechanical Engineering (or equivalent engineering degree) from an accredited Canadian university. Standard admission requirements for entry in the Mechanical Engineering MASc program will be met. Applications will be reviewed by the coordinator for the International Master of Applied Science in Automotive Engineering program. Student application files will be forwarded to the Faculty of Graduate Studies, with a request for formal admission of those students approved by the program coordinator. Accepted students will be enrolled at the University of Windsor with M2 status (Master candidate) in the International Masters in Automotive Engineering."
Biological Sciences,MSc,12-24 months,Fall 01-Jul,IBT-83,65,Minimum 6.5,Applicants are required to complete a Statement of Research Interest Form available from the Biological Sciences webpage.,Not Applicable,"Applicants with an honours degree in Biological Sciences or a related field may be admitted to the Master's Candidacy (M2) program.Applicants with a general B.Sc. degree in Biological Sciences or a related field may be admitted to the Master's Qualifying (M1) program.For the Behaviour and Neuroscience field, agreement with a research supervisor for supervision will also be required."
Biological Sciences,PhD ,24 months if have a masters degree,Fall 01-Jul,IBT-84,65,Minimum 6.5,Applicants are required to complete a Statement of Research Interest Form available from the Biological Sciences webpage.,Not Applicable,Applicants with an honours degree in Biological Sciences or related field and who have been judged to be outstanding students may be admitted directly into the Ph.D. program. Applicants holding an M.Sc. degree or equivalent from the University of Windsor or from another recognized university or college may be admitted to the Ph.D. program with advanced standing in course work as described below.
Business Administration,MBA,,Fall 01-Apr,IBT-100,68,Minimum 7,"Letter of Intent and Resume (CV),Offical GMAT Score (520): Verbal 26, Quantitative 30, Analytical Writing 4.",Yes,"GMAT exam – satisfactory achievement in all segments and a satisfactory total score.GMAT may be waived at the discretion of the MBA - Professional Accounting Specialization Program Director
Achievement of a satisfactory score on an appropriate and well recognized English language proficiency test for students whose first language is not English
Satisfactory performance on personal interview
Two appropriate letters of reference
Minimum average of 70% in their previous academic degree and minimum average of 75% in the past twenty courses
Successful completion of B.Comm and of all required undergraduate accounting prerequisite courses (i.e. Odette Undergraduate CPA Path) or equivalents
Successful completion of the Odette PGCA and of the undergraduate accounting prerequisite courses or equivalent
Students cannot enter the professional accounting specialization without undergraduate accounting prerequisites (i.e. Odette Undergraduate CPA Path or equivalent)"
Business Administration,MBA(PAS),,"Fall 30-Apr(Domestic Applicants), 01-Mar(International Applicants)",IBT-100,68,Minimum 7,"Letter of Intent and Resume (CV),Offical GMAT Score (520): Verbal 26, Quantitative 30, Analytical Writing 4.",Not Applicable,"GMAT exam – satisfactory achievement in all segments and a satisfactory total score.GMAT may be waived at the discretion of the MBA - Professional Accounting Specialization Program Director
Achievement of a satisfactory score on an appropriate and well recognized English language proficiency test for students whose first language is not English
Satisfactory performance on personal interview
Two appropriate letters of reference
Minimum average of 70% in their previous academic degree and minimum average of 75% in the past twenty courses
Successful completion of B.Comm and of all required undergraduate accounting prerequisite courses (i.e. Odette Undergraduate CPA Path) or equivalents
Successful completion of the Odette PGCA and of the undergraduate accounting prerequisite courses or equivalent
Students cannot enter the professional accounting specialization without undergraduate accounting prerequisites (i.e. Odette Undergraduate CPA Path or equivalent)"
Business Administration,MBA-M&P,,Fall Closed,IBT-100,68,Minimum 7,"Letter of Intent and Resume (CV),Offical GMAT Score (520): Verbal 26, Quantitative 30, Analytical Writing 4.",Not Applicable,"Students must have a minimum of five years of full-time work experience in a professional settingFour-year undergraduate degree or equivalent
GMAT exam – satisfactory achievement in all segments and a satisfactory total score.
GMAT may be waived at the discretion of the MBA Program Director
Achievement of a satisfactory score on an appropriate and well recognized English language proficiency test for students whose first language is not English
Satisfactory performance on personal interview
Two appropriate letters of reference
Minimum average of 70% in their previous academic degree and minimum average of 75% in the past twenty courses. The determination for advanced standing is granted by the MBA Program Director."
Business Administration,MBA/JD,,Fall 01-Apr,IBT-100,68,Minimum 7,"Letter of Intent and Resume (CV),Offical GMAT Score (520): Verbal 26, Quantitative 30, Analytical Writing 4.Copies of undergraduate, graduate or professional school transcripts,GMAT Scores.",Not Applicable,"GMAT exam – satisfactory achievement in all segments and a satisfactory total score.GMAT may be waived at the discretion of the MBA - Professional Accounting Specialization Program Director
Achievement of a satisfactory score on an appropriate and well recognized English language proficiency test for students whose first language is not English
Satisfactory performance on personal interview
Two appropriate letters of reference
Minimum average of 70% in their previous academic degree and minimum average of 75% in the past twenty courses
Successful completion of B.Comm and of all required undergraduate accounting prerequisite courses (i.e. Odette Undergraduate CPA Path) or equivalents
Successful completion of the Odette PGCA and of the undergraduate accounting prerequisite courses or equivalent
Students cannot enter the professional accounting specialization without undergraduate accounting prerequisites (i.e. Odette Undergraduate CPA Path or equivalent). Other factors involve the below mentioned categories in the application   :                                                                                              Work experience,personal accomplishments,community involvement,career objectives."
Chemistry and Biochemistry,MSc,24 months,Fall 01-Jul,IBT-83,65,Minimum 6.5,"Graduate Record Examination (GRE) is required for applicants graduating from universities outside North America,Statement of Pupose,Curriculum vitae,Letter Of Reference",Not Applicable,"In accordance with our current admission requirements for the MSc program, students entering this program must have a four (4) year BSc or BSc (Honours) degree in Biochemistry, Biology, Chemistry, or accepted equivalent from an academic institution approved by the University of Windsor.
They must have the equivalent of a 70% average or higher in their undergraduate studies when converted to Ontario standards.
Candidates must demonstrate English proficiency by meeting or exceeding an IELTS score of 6.5 (or equivalent – i.e. 83 TOEFL Internet Based Test). If an applicant receives an English language proficiency score of less than 6.5 (or equivalent) they may be offered a conditional letter of acceptance pending successful completion of an approved English Language Training program.
Applicants must pass a successful interview with a representative or agent acting on behalf of the University of Windsor and submit two letters of reference.
This is a premium program as such enrolment is limited. Preference will be given to candidates who exceed the minimum requirements and those who have demonstrated work experience in the field of biotechnology."
